Task,AssignedTo,DueDate,Cadence,Daily_Mode,Key
Cook,,9/27/2025,Week,,Cook|2025-09-22
Harrison cloths,,9/27/2025,Week,,Harrison cloths|2025-09-22
Commun cloths,,9/27/2025,Week,,Commun cloths|2025-09-22
Trash,,9/27/2025,Week,,Trash|2025-09-22
Clean Kitchen,,9/27/2025,Week,,Clean Kitchen|2025-09-22
Clean Living room,,9/27/2025,Week,,Clean Living room|2025-09-22
Clean Harrison room,,9/27/2025,Week,,Clean Harrison room|2025-09-22
Clean Sun Room,,9/27/2025,Week,,Clean Sun Room|2025-09-22
Change Harrisons sheets,,9/27/2025,Week,,Change Harrisons sheets|2025-09-22
Order groceries,,9/27/2025,Week,,Order groceries|2025-09-22
Pickup groceries,,9/27/2025,Week,,Pickup groceries|2025-09-22
Give Harrison a bath,,9/27/2025,Week,,Give Harrison a bath|2025-09-22
Transfere money,,9/27/2025,Week,,Transfere money|2025-09-22
Get rob cleaning,,9/27/2025,Week,,Get rob cleaning|2025-09-22
Clean Cat Litter,,9/27/2025,Week,,Clean Cat Litter|2025-09-22
Prepare HG Bag for the week,,9/27/2025,Week,,Prepare HG Bag for the week|2025-09-22
BG Pickleball,BG,9/27/2025,Week,,BG Pickleball|2025-09-22
BG Gym,BG,9/27/2025,Week,,BG Gym|2025-09-22