EventID,Date (yyyy-mm-dd),Task ID,Who (BG / KG),+/- Count
3a6b9b50,9/2/2025,T030,BG,1
96f70ccb,9/2/2025,T012,KG,1
da1edbdc,9/2/2025,T029,BG,-1
9d4d8d90,9/2/2025,T030,BG,-1
0ad43cbb,9/2/2025,T047,BG,1
6af6cbe6,9/2/2025,T041,BG,1
71bbcc21,9/2/2025,T025,BG,1
2d26cf35,9/2/2025,T005,BG,1
ffce2ac5,9/2/2025,T020,KG,1
887bd08c,9/2/2025,T040,KG,1
0ac72def,9/2/2025,T049,KG,1
3acd19f3,9/2/2025,T048,BG,1
f515cf4e,9/2/2025,T050,BG,1
699a484b,9/3/2025,T042,KG,1
5f61a6bc,9/3/2025,T013,KG,1
7a82f751,9/3/2025,T039,KG,1
a7833a66,9/3/2025,T045,BG,1
e0a9991f,9/3/2025,T045,BG,-1
186fd04f,9/3/2025,T046,BG,1
00b3bfa6,9/3/2025,T043,BG,1
73a71dc8,9/3/2025,T016,BG,1
d25221f0,9/3/2025,T047,BG,1
0f210a0c,9/3/2025,T045,BG,1
977663da,9/3/2025,T020,BG,1
09906fd4,9/3/2025,T018,BG,1
071a0102,9/3/2025,T017,BG,1
311fa3f6,9/3/2025,T021,BG,1
79cc1f2f,9/3/2025,T048,BG,1
36a84dd0,9/3/2025,T022,BG,1
ad636c0d,9/3/2025,T020,BG,1
aee01b26,9/4/2025,T045,BG,1
f0f4f70d,9/4/2025,T043,BG,1
9b93cead,9/4/2025,T018,BG,1
941d5f5d,9/4/2025,T013,BG,1
b160a0cf,9/4/2025,T040,BG,1
02d46477,9/4/2025,T039,BG,1
f94bc79f,9/4/2025,T040,BG,-1
87b17a13,9/4/2025,T001,BG,1
e12be20f,9/4/2025,T047,BG,1
0b2aec12,9/4/2025,T042,KG,1
c208535b,9/4/2025,T020,KG,1
d23f112f,9/4/2025,T040,KG,1
3ccc780d,9/4/2025,T049,KG,1
ae53b8e7,9/4/2025,T046,KG,1
a19e07db,9/5/2025,T045,BG,1
65d05945,9/5/2025,T043,BG,1
6af15a08,9/4/2025,T052,KG,1
83a8baee,9/4/2025,T052,KG,1
c1269011,9/4/2025,T052,KG,1
0686ba0b,9/5/2025,T046,KG,-1
5c5f44e2,9/5/2025,T042,KG,1
2397bc0a,9/5/2025,T018,KG,1
cf4abcde,9/5/2025,T039,KG,1
8c43f81c,9/5/2025,T013,KG,1
f3e375ad,9/5/2025,T046,KG,1
685d10b0,9/5/2025,T052,KG,1
abb7384e,9/5/2025,T046,KG,1
2844d135,9/5/2025,T049,KG,1
be9c6512,9/5/2025,T047,BG,1
1d1be703,9/5/2025,T051,BG,1
29e36d47,9/6/2025,T045,BG,1
9c1149ba,9/6/2025,T018,BG,1
ccfbb53a,9/6/2025,T039,BG,1
3bfa1cf1,9/6/2025,T042,KG,1
3be7a4f5,9/6/2025,T013,KG,1
562cc037,9/6/2025,T046,KG,1
dd4e89f8,9/6/2025,T052,KG,1
5ff48113,9/6/2025,T043,BG,1
27a349c1,9/6/2025,T001,KG,1
b921e793,9/6/2025,T016,KG,1
38d70a4a,9/6/2025,T016,KG,1
a2bc2f48,9/6/2025,T016,KG,1
2aff2404,9/6/2025,T016,KG,1
546059bb,9/6/2025,T023,KG,1
5fe9ac49,9/6/2025,T014,KG,1
bc74bfbc,9/6/2025,T019,KG,1
a389477b,9/7/2025,T001,BG,1
bbdece22,9/7/2025,T045,BG,1
a21307b1,9/7/2025,T018,BG,1
3e06400d,9/7/2025,T013,BG,1
05b92605,9/7/2025,T039,BG,1
9d1c4a21,9/7/2025,T019,BG,1
2f88d61f,9/7/2025,T008,BG,1
e106e9d8,9/7/2025,T025,BG,1
a7e151a9,9/7/2025,T021,BG,1
88fe2d9c,9/7/2025,T022,BG,1
f64288c7,9/7/2025,T047,KG,1
e2a2fe11,9/7/2025,T020,BG,1
34c0fb96,9/7/2025,T002,KG,1
8ec73f35,9/7/2025,T014,KG,1
0e5de880,9/7/2025,T048,KG,1
787a124e,9/7/2025,T042,KG,1
f91a422a,9/7/2025,T049,KG,1
95c515ef,9/7/2025,T020,KG,1
a4ea2a0c,9/7/2025,T040,KG,1
fdf64168,9/7/2025,T002,KG,1
a0db5e66,9/7/2025,T020,KG,1
23b5d739,9/7/2025,T017,KG,1
524144d0,9/7/2025,T024,KG,1
5012798f,9/8/2025,T018,BG,1
f3e42855,9/8/2025,T013,BG,1
3a4ed60e,9/8/2025,T045,BG,1
5396b56a,9/8/2025,T043,BG,1
f6d2eb2b,9/8/2025,T039,BG,1
f13bf2c7,9/8/2025,T016,BG,1
2413c426,9/8/2025,T046,KG,1
734fb49d,9/8/2025,T042,KG,1
b899fff7,9/8/2025,T052,KG,1
64735109,9/8/2025,T001,KG,1
ba5ec1d8,9/8/2025,T020,BG,1
4a9d5cde,9/8/2025,T049,BG,1
b25ff1f3,9/8/2025,T017,BG,1
06efc6a1,9/8/2025,T047,BG,1
24c2209b,9/8/2025,T025,BG,1
b008a09e,9/8/2025,T005,BG,1
6c47bdd9,9/8/2025,T041,BG,1
45c08c89,9/8/2025,T040,BG,1
87b933c2,9/8/2025,T022,BG,1
5dba570f,9/8/2025,T048,KG,1
a0014850,9/8/2025,T044,KG,1
ecb084c4,9/9/2025,T018,BG,1
5d2343f2,9/9/2025,T013,BG,1
eb144a44,9/9/2025,T045,BG,1
46b87c86,9/9/2025,T043,BG,1
147d08fd,9/9/2025,T016,BG,1
173da620,9/9/2025,T042,KG,1
c7dc6cac,9/9/2025,T052,KG,1
18d066f0,9/9/2025,T046,KG,1
ad287761,9/9/2025,T039,KG,1
8a607473,9/9/2025,T017,BG,1
89b9a18a,9/9/2025,T020,BG,1
0503c4d6,9/9/2025,T047,KG,1
9bd958b4,9/9/2025,T040,KG,1
cffc34e3,9/9/2025,T049,KG,1
4fdf7027,9/9/2025,T001,KG,1
9e000f5f,9/9/2025,T002,KG,1
ecc0c14f,9/9/2025,T050,BG,1
9aa74552,9/9/2025,T048,BG,1
bc00e38c,9/10/2025,T042,KG,1
f239b236,9/10/2025,T018,KG,1
992b81dd,9/10/2025,T039,KG,1
4a173e69,9/10/2025,T013,KG,1
82d5618c,9/10/2025,T045,BG,1
a66cb26f,9/10/2025,T052,BG,1
9329e1aa,9/10/2025,T043,BG,1
82bbc3f9,9/10/2025,T046,KG,1
fd0b5796,9/10/2025,T016,KG,1
dfc626b7,9/10/2025,T001,KG,1
183ffba8,9/10/2025,T001,KG,-1
8034e04a,9/10/2025,T001,KG,-1
3f28e727,9/10/2025,T017,BG,1
bdf57c18,9/10/2025,T020,BG,1
70c371ff,9/10/2025,T047,BG,1
f6e1760d,9/10/2025,T049,BG,1
e8590aa4,9/10/2025,T025,BG,1
1591c772,9/10/2025,T021,BG,1
698767c3,9/10/2025,T001,BG,1
f83ee9e6,9/10/2025,T001,BG,1
9b476de1,9/10/2025,T048,KG,1
fea4374a,9/10/2025,T040,KG,1
3da5a522,9/10/2025,T022,BG,1
0a819a61,9/11/2025,T045,BG,1
c93e0b40,9/11/2025,T018,BG,1
d08972f5,9/11/2025,T013,BG,1
270857f4,9/11/2025,T039,BG,1
7cc794fb,9/11/2025,T047,KG,1
8b795584,9/11/2025,T046,KG,1
ec81b263,9/11/2025,T042,KG,1
a1235e7a,9/11/2025,T042,KG,1
a629bba0,9/11/2025,T042,KG,1
a3c9f73c,9/11/2025,T049,KG,1
ec89767e,9/11/2025,T020,KG,1
051db5fa,9/11/2025,T040,KG,1
c56a0f4c,9/11/2025,T022,KG,1
8371d65a,9/11/2025,T048,KG,1
3aea5223,9/11/2025,T052,KG,1
86fbbdfa,9/11/2025,T004,KG,1
9bdc0245,9/11/2025,T017,KG,1
26d87bec,9/11/2025,T043,BG,1
c8dccb7a,9/12/2025,T001,BG,-1
ac35f151,9/12/2025,T045,BG,1
4de79964,9/12/2025,T046,KG,1
9651dac6,9/12/2025,T042,KG,1
34fdcc8e,9/12/2025,T018,KG,1
7956c518,9/12/2025,T049,KG,1
3868adf6,9/12/2025,T039,KG,1
7abae57d,9/12/2025,T013,KG,1
11a21492,9/12/2025,T052,KG,1
19a83285,9/12/2025,T043,BG,1
18b8aed3,9/12/2025,T010,KG,1
e2853386,9/12/2025,T016,KG,1
a9586373,9/12/2025,T020,BG,1
fd387630,9/12/2025,T017,BG,1
67c0b013,9/12/2025,T047,BG,1
f080d5f9,9/12/2025,T002,KG,1
2dbc9c51,9/12/2025,T001,KG,1
7f20f56c,9/12/2025,T040,KG,1
fa8d5aee,9/12/2025,T001,KG,1
7b8ef100,9/12/2025,T022,BG,1
3d5b2367,9/13/2025,T048,BG,1
be114ddd,9/13/2025,T018,BG,1
9df874fe,9/13/2025,T013,BG,1
b1676da7,9/13/2025,T045,BG,1
ddbdba62,9/13/2025,T052,BG,1
6563b672,9/13/2025,T046,BG,1
7f8865db,9/13/2025,T043,BG,1
01d407ce,9/13/2025,T039,BG,1
47603b60,9/13/2025,T016,BG,1
ae2ab3a9,9/13/2025,T022,BG,1
077b53f4,9/13/2025,T019,BG,1
0810d9d0,9/13/2025,T042,KG,1
e38a7837,9/13/2025,T040,KG,1
ef8cf25b,9/13/2025,T049,KG,1
aea82139,9/13/2025,T020,BG,1
9c714dea,9/14/2025,T003,KG,1
5e8c282b,9/14/2025,T014,KG,1
8dce7f29,9/14/2025,T039,KG,1
13456458,9/14/2025,T013,KG,1
fb49db1b,9/14/2025,T018,KG,1
4f8ffa3a,9/14/2025,T042,KG,1
6a93e940,9/14/2025,T014,KG,1
b5125407,9/14/2025,T029,BG,1
18d80610,9/14/2025,T030,BG,1
b2d10850,9/14/2025,T001,BG,1
7bddf2ec,9/14/2025,T029,BG,1
b5f5586d,9/14/2025,T019,KG,1
581a9b2f,9/14/2025,T040,KG,1
95125fce,9/14/2025,T049,KG,1
3947bd7c,9/15/2025,T019,KG,-1
b5cd5b88,9/17/2025,T001,BG,1
516eed20,9/17/2025,T045,BG,1
90ac3b38,9/17/2025,T045,BG,1
15874f82,9/17/2025,T046,BG,1
5c050b83,9/17/2025,T013,BG,1
b2cf10c1,9/17/2025,T016,BG,1
98f730b4,9/17/2025,T018,BG,1
4af50689,9/17/2025,T020,BG,1
0b309da8,9/17/2025,T016,BG,1
df47e656,9/17/2025,T017,BG,1
05fc7dba,9/17/2025,T016,BG,1
63f268d6,9/17/2025,T016,BG,1
dd5d8495,9/17/2025,T017,BG,1
6106bac0,9/17/2025,T016,BG,1
dd2174f5,9/17/2025,T017,BG,1